Frontotemporal,Surrounding,IC,MGB
3.008218027,3.020762421,2.52515281,2.518874732
2.526925788,2.571113724,2.411035806,2.341652742
2.847077181,2.845357736,2.317000093,2.392524578
2.654645925,2.598926325,2.35006003,2.369366082
2.770758956,2.860153369,2.435532732,2.464783383
2.781019722,2.909502365,2.349760744,2.305814746
2.504740292,2.665253114,2.332009035,2.239781336
3.163225534,3.213552026,2.347091255,2.508103962
2.683980113,2.783409424,2.334204614,2.417096366
3.17152685,3.347163893,2.45908778,2.586682067
2.925101254,2.726605643,2.944675835,3.013494438
2.917389276,2.984749527,2.58922794,2.326735326
2.913970521,3.127868663,2.582522839,2.441769099
2.573128785,2.608396181,2.287275886,2.182139799
3.171222644,2.861979377,3.342223669,2.605193148
2.734333246,2.691228469,2.287243123,2.266790043
2.505528037,2.446015666,2.431170187,2.258464266
2.507287873,2.485298141,2.330912214,2.286124996
2.539940345,2.569692763,2.3610562,2.309236213
2.525010169,2.517184748,2.410753567,2.228381363
2.670867507,2.686023944,2.171190648,2.235882081
2.777980817,2.773146441,2.627720439,2.61839517
2.466208234,2.491104712,2.241116661,2.803190797
2.60812348,2.635330891,2.612773708,2.396749404
3.054078707,3.081282673,2.424627959,2.505172449
2.701279801,2.892376673,2.120888203,2.469251659
2.697197301,2.682234878,2.297574134,2.347766866
2.546529472,2.474052786,2.401898776,2.422456288
2.631925048,2.663035183,2.331060712,2.43286459
2.593001366,2.813186876,2.147410119,2.257422456
